regname;regcode;year;month;count_0;count_4;min_0;min_4;max_0;max_4;mean_0;mean_4;sum_0;sum_4;nodata_0;nodata_4;median_0;median_4;std_0;std_4;percentile_90_0;percentile_90_4
 Causeni;MDA.9_1;2022;1;8177;8177;0;0;116.0;147.0;0.8510456157514981;213.464.595.817.537;6959.0;17455.0;0;0;0;0;5.162.050.182.233.020;65.706.827.972.939.600;0;6.0
 Causeni;MDA.9_1;2022;2;8177;8177;0;0;133.0;135.0;0.731074966369084;13.465.818.759.936.400;5978.0;11011.0;0;0;0;0;5.441.874.180.908.370;5.423.867.858.059.800;0;5.0
 Causeni;MDA.9_1;2022;3;8177;8177;0;0;139.0;154.0;0.8267090620031796;0.9463128286657698;6760.0;7738.0;0;0;0;0;5.656.848.269.097.710;5.677.671.911.817.330;0;0
 Causeni;MDA.9_1;2022;4;8177;8177;0;0;149.0;150.0;0.7210468386938975;10.750.886.633.239.500;5896.0;8791.0;0;0;0;0;6.034.922.499.343.150;5.740.909.362.059.080;0;5.0
 Causeni;MDA.9_1;2022;5;8177;8177;0;0;138.0;128.0;0.8775834658187599;1.817.903.876.727.400;7176.0;14865.0;0;0;0;0;5.578.664.227.566.800;5.280.743.233.463.230;0;6.0
 Causeni;MDA.9_1;2022;6;8177;8177;0;0;133.0;102.0;0.8892014186131834;16.932.860.462.272.200;7271.0;13846.0;0;0;0;0;5.262.320.419.946.370;51.565.531.635.766.800;0;6.0
 Causeni;MDA.9_1;2022;7;8177;8177;0;0;117.0;114.0;0.801883331295096;10.864.620.276.384.900;6557.0;8884.0;0;0;0;0;48.740.157.188.831;4.591.944.807.714.020;0;5.0
 Causeni;MDA.9_1;2022;8;8177;8177;0;0;122.0;114.0;0.922220863397334;1.982.022.746.728.620;7541.0;16207.0;0;0;0;0;4.578.057.161.129.190;461.816.255.467.556;0;6.0
 Causeni;MDA.9_1;2022;9;8177;8177;0;0;108.0;120.0;0.7358444417267946;10.813.256.695.609.600;6017.0;8842.0;0;0;0;0;46.805.160.531.638.300;46.511.535.772.153.700;0;5.0
 Causeni;MDA.9_1;2022;10;8177;8177;0;0;126.0;137.0;0.6513391219273572;0.8690228690228691;5326.0;7106.0;0;0;0;0;4.512.656.204.377.690;4.776.869.428.054.300;0;0
 Causeni;MDA.9_1;2022;11;8177;8177;0;0;120.0;121.0;0.6021768374709551;0.8421181362357832;4924.0;6886.0;0;0;0;0;4.804.288.589.704.040;42.048.146.799.919.400;0;0
